"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
03/20/2018,22:00,314.87,316.25,308.76,310.55,4764293,0,0.00,0.00,0.00,0.00,0.00,0.00
03/21/2018,22:00,310.25,322.44,310.19,316.53,5958411,0,0.00,0.00,0.00,0.00,0.00,0.00
03/22/2018,22:00,313.89,318.82,308.18,309.10,4939771,0,0.00,0.00,0.00,0.00,0.00,0.00
03/23/2018,22:00,311.25,311.61,300.45,301.54,6654899,0,0.00,0.00,0.00,0.00,0.00,0.00
03/26/2018,22:00,307.34,307.59,291.36,304.18,8375175,0,0.00,0.00,0.00,0.00,0.00,0.00
03/27/2018,22:00,304.00,304.27,277.18,279.18,13872029,0,0.00,0.00,0.00,0.00,0.00,0.00
03/28/2018,22:00,264.58,268.68,252.10,257.78,21001437,0,0.00,0.00,0.00,0.00,0.00,0.00
03/29/2018,22:00,256.49,270.96,248.21,266.13,15170749,0,0.00,0.00,0.00,0.00,0.00,0.00
04/02/2018,22:00,256.26,260.33,244.59,252.48,16113968,0,0.00,0.00,0.00,0.00,0.00,0.00
04/03/2018,22:00,269.82,273.35,254.49,267.53,18844384,0,0.00,0.00,0.00,0.00,0.00,0.00
04/04/2018,22:00,252.78,288.37,252.00,286.94,19896746,0,0.00,0.00,0.00,0.00,0.00,0.00
04/05/2018,22:00,289.34,306.26,288.20,305.72,19121101,0,0.00,0.00,0.00,0.00,0.00,0.00
04/06/2018,22:00,301.00,309.28,295.50,299.30,13520286,0,0.00,0.00,0.00,0.00,0.00,0.00
04/09/2018,22:00,300.37,309.50,289.21,289.66,10249805,0,0.00,0.00,0.00,0.00,0.00,0.00
04/10/2018,22:00,298.97,307.10,293.68,304.70,11024259,0,0.00,0.00,77.21,77.21,80.00,20.00
04/11/2018,22:00,300.74,308.98,299.66,300.93,7482945,0,0.00,0.00,76.79,77.07,80.00,20.00
04/12/2018,22:00,302.32,303.95,293.68,294.08,7608769,0,0.00,0.00,75.74,76.58,80.00,20.00
04/13/2018,22:00,303.60,303.95,295.98,300.34,7327223,0,0.00,0.00,78.38,76.97,80.00,20.00
04/16/2018,22:00,299.00,299.66,289.01,291.21,6338488,0,0.00,0.00,77.15,77.09,80.00,20.00
04/17/2018,22:00,288.87,292.17,282.51,287.69,7000023,0,0.00,0.00,74.70,76.74,80.00,20.00
04/18/2018,22:00,291.08,300.24,288.16,293.35,6557700,0,293.33,290.42,71.11,74.32,80.00,20.00
04/19/2018,22:00,291.08,301.01,288.55,300.08,6090599,0,294.53,289.60,75.67,73.83,80.00,20.00
04/20/2018,22:00,295.17,299.98,289.75,290.24,5627928,0,292.51,288.65,76.07,74.28,80.00,20.00
04/23/2018,22:00,291.29,291.62,282.33,283.37,4893378,0,290.95,287.74,69.53,73.76,80.00,20.00
04/24/2018,22:00,285.00,287.09,278.46,283.46,5685308,0,290.10,286.71,51.09,65.56,80.00,20.00
04/25/2018,22:00,283.50,285.16,277.25,280.69,4013574,0,287.57,286.78,32.96,51.19,80.00,20.00
04/26/2018,22:00,278.75,285.79,276.50,285.48,4356013,0,284.65,288.17,18.09,34.05,80.00,20.00
04/27/2018,22:00,285.37,294.47,283.83,294.08,4364626,0,285.42,289.57,30.70,27.25,80.00,20.00
04/30/2018,22:00,293.61,298.73,292.50,293.90,4228172,0,287.52,291.64,44.88,31.22,80.00,20.00
05/01/2018,22:00,293.51,300.82,293.22,299.92,4625603,0,290.81,293.26,63.20,46.26,80.00,20.00
05/02/2018,22:00,298.57,306.85,297.78,301.15,8970370,0,294.91,293.97,72.52,60.20,80.00,20.00
05/03/2018,22:00,278.79,288.04,275.23,284.45,17352130,0,294.70,292.90,64.07,66.59,80.00,20.00
05/04/2018,22:00,283.00,296.86,279.52,294.09,8569354,0,294.70,292.64,56.34,64.31,80.00,20.00
05/07/2018,22:00,297.50,305.96,295.17,302.77,8678224,0,296.48,293.30,58.63,59.68,80.00,20.00
05/08/2018,22:00,300.80,307.75,299.00,301.97,5930000,0,296.89,293.16,76.38,63.78,80.00,20.00
05/09/2018,22:00,300.41,307.01,300.05,306.85,5727365,0,298.03,293.46,88.87,74.63,80.00,20.00
05/10/2018,22:00,307.50,312.99,304.11,305.02,5651561,0,302.14,294.01,85.75,83.67,80.00,20.00
05/11/2018,22:00,307.70,308.88,299.08,301.06,4679649,0,303.53,294.04,80.75,85.12,80.00,20.00
05/14/2018,22:00,303.32,304.94,291.62,291.97,7286804,0,301.37,294.08,63.88,76.79,80.00,20.00
05/15/2018,22:00,285.01,286.96,280.50,284.18,9519173,0,297.82,293.90,45.48,63.37,80.00,20.00
05/16/2018,22:00,283.83,288.81,281.56,286.48,5674019,0,293.74,293.56,32.61,47.32,80.00,20.00
05/17/2018,22:00,285.90,289.19,283.97,284.54,4420612,0,289.65,292.78,26.05,34.71,80.00,20.00
05/18/2018,22:00,284.65,284.65,274.00,276.82,7251887,0,284.80,292.11,20.42,26.36,80.00,20.00
05/21/2018,22:00,281.33,291.49,281.30,284.49,9182571,0,283.30,292.17,19.54,22.00,80.00,20.00
05/22/2018,22:00,287.76,288.00,273.42,275.01,8945756,0,281.47,291.75,12.68,17.55,80.00,20.00
05/23/2018,22:00,277.76,279.91,274.00,279.07,5985053,0,279.99,291.67,15.01,15.74,80.00,20.00
05/24/2018,22:00,278.40,281.11,274.89,277.85,4176708,0,278.65,291.28,9.83,12.51,80.00,20.00
05/25/2018,22:00,277.63,279.64,275.61,278.85,3875082,0,279.05,290.52,13.07,12.64,80.00,20.00
05/29/2018,22:00,278.51,286.50,276.15,283.76,5666640,0,278.91,290.02,17.02,13.30,80.00,20.00
05/30/2018,22:00,283.29,295.01,281.60,291.72,7489686,0,282.25,289.61,28.70,19.59,80.00,20.00
05/31/2018,22:00,287.21,290.37,282.93,284.73,5919721,0,283.38,288.78,34.86,26.86,80.00,20.00
06/01/2018,22:00,285.86,291.95,283.84,291.82,5424386,0,286.18,289.15,45.06,36.21,80.00,20.00
06/04/2018,22:00,294.34,299.00,293.55,296.74,4797810,0,289.75,289.29,57.29,45.74,80.00,20.00
06/05/2018,22:00,297.70,297.80,286.74,291.13,5995157,0,291.23,288.70,71.88,58.08,80.00,20.00
06/06/2018,22:00,300.50,322.17,297.48,319.50,18762517,0,296.78,289.58,87.19,72.12,80.00,20.00
06/07/2018,22:00,316.15,330.00,313.58,316.09,14345271,0,303.06,290.04,81.32,80.13,80.00,20.00
06/08/2018,22:00,319.00,324.48,317.15,317.66,8205202,0,308.22,290.67,82.14,83.55,80.00,20.00
06/11/2018,22:00,322.51,334.66,322.50,332.10,13183473,0,315.30,292.23,83.48,82.31,80.00,20.00
06/12/2018,22:00,344.70,354.97,338.00,342.77,22347403,0,325.62,294.77,86.37,84.00,80.00,20.00
06/13/2018,22:00,346.71,347.20,339.80,344.78,9469804,0,330.68,297.80,88.78,86.21,80.00,20.00
06/14/2018,22:00,347.63,358.75,346.60,357.72,10981023,0,339.01,301.36,90.41,88.52,80.00,20.00
06/15/2018,22:00,353.84,364.67,351.25,358.17,10848254,0,347.11,305.04,92.96,90.72,80.00,20.00
06/18/2018,22:00,355.40,373.73,354.50,370.83,12073226,0,354.85,309.74,96.05,93.14,80.00,20.00
06/19/2018,22:00,365.16,370.00,346.25,352.55,12761903,0,356.81,313.14,88.73,92.58,80.00,20.00
06/20/2018,22:00,358.04,364.38,352.00,362.22,8383656,0,360.30,317.50,86.95,90.58,80.00,20.00
06/21/2018,22:00,362.00,366.21,346.27,347.51,7967145,0,358.26,320.92,77.99,84.56,80.00,20.00
06/22/2018,22:00,351.54,352.25,332.00,333.63,10266059,0,353.35,323.71,70.50,78.48,80.00,20.00
06/25/2018,22:00,330.12,338.47,327.50,333.01,6931304,0,345.78,326.42,57.22,68.57,80.00,20.00
06/26/2018,22:00,336.05,343.55,325.80,342.00,7452487,0,343.67,329.33,49.62,59.12,80.00,20.00
06/27/2018,22:00,345.00,350.79,339.50,344.50,8333727,0,340.13,331.97,47.31,51.38,80.00,20.00
06/28/2018,22:00,348.66,357.02,346.11,349.93,8398005,0,340.61,335.23,49.54,48.82,80.00,20.00
06/29/2018,22:00,353.33,353.86,342.41,342.95,6492396,0,342.48,337.79,46.19,47.68,80.00,20.00
07/02/2018,22:00,360.07,364.78,329.85,335.07,18759765,0,342.89,339.71,36.61,44.11,80.00,20.00
07/03/2018,22:00,331.75,332.49,309.69,310.86,12282638,0,336.66,340.69,17.25,33.35,80.00,20.00
07/05/2018,22:00,313.76,314.39,296.22,309.16,17476374,0,329.59,340.18,12.34,22.07,80.00,20.00
07/06/2018,22:00,304.95,312.07,302.00,308.90,8865451,0,321.39,339.82,12.23,13.94,80.00,20.00
07/09/2018,22:00,311.99,318.52,308.00,318.51,7596753,0,316.50,339.86,20.94,15.17,80.00,20.00
07/10/2018,22:00,324.56,327.68,319.20,322.47,9471498,0,313.98,339.38,27.67,20.28,80.00,20.00
07/11/2018,22:00,315.80,321.94,315.07,318.96,4884076,0,315.60,338.19,33.35,27.32,80.00,20.00
07/12/2018,22:00,321.43,323.23,312.77,316.71,5721166,0,317.11,336.78,33.32,31.44,80.00,20.00
07/13/2018,22:00,315.58,319.58,309.25,318.87,5875770,0,319.10,334.84,31.81,32.82,80.00,20.00
07/16/2018,22:00,311.71,315.16,306.25,310.10,7818655,0,317.42,332.44,27.72,30.95,80.00,20.00
07/17/2018,22:00,308.81,324.74,308.50,322.69,6996232,0,317.47,330.03,30.63,30.05,80.00,20.00
07/18/2018,22:00,325.00,325.50,316.25,323.85,5624211,0,318.44,328.60,33.05,30.47,80.00,20.00
07/19/2018,22:00,316.33,323.54,314.01,320.23,5915345,0,319.15,326.50,37.98,33.89,80.00,20.00
07/20/2018,22:00,321.23,323.24,311.71,313.58,5166547,0,318.09,324.80,33.55,34.86,80.00,20.00
07/23/2018,22:00,301.84,305.50,292.86,303.20,10992947,0,316.71,323.28,29.26,33.59,80.00,20.00
07/24/2018,22:00,304.42,307.72,292.55,297.43,9590784,0,311.66,321.50,22.73,28.51,80.00,20.00
07/25/2018,22:00,296.35,309.62,294.50,308.74,7094180,0,308.64,319.84,28.58,26.86,80.00,20.00
07/26/2018,22:00,304.85,310.70,303.64,306.65,4630522,0,305.92,317.94,33.37,28.23,80.00,20.00
07/27/2018,22:00,307.25,307.69,295.34,297.18,5703326,0,302.64,315.31,33.13,31.70,80.00,20.00
07/30/2018,22:00,295.90,296.10,286.13,290.17,6814072,0,300.03,312.67,20.77,29.09,80.00,20.00
07/31/2018,22:00,292.25,298.32,289.07,298.14,5076916,0,300.18,310.82,18.16,24.02,80.00,20.00
08/01/2018,22:00,297.99,303.00,293.00,300.84,10129430,0,298.60,310.32,26.04,21.66,80.00,20.00
08/02/2018,22:00,328.44,349.99,323.16,349.54,23214962,0,307.17,312.34,63.20,35.80,80.00,20.00
08/03/2018,22:00,347.81,355.00,342.53,348.17,13656486,0,317.37,314.30,81.44,56.90,80.00,20.00
08/06/2018,22:00,345.46,354.98,341.82,341.99,8564331,0,327.74,315.48,89.94,78.19,80.00,20.00
08/07/2018,22:00,343.84,387.46,339.15,379.57,30875768,0,344.02,318.33,88.40,86.59,80.00,20.00
08/08/2018,22:00,369.09,382.64,367.12,370.34,24571163,0,357.92,320.90,86.00,88.11,80.00,20.00
08/09/2018,22:00,365.55,367.01,345.73,352.45,17183811,0,358.50,322.69,80.26,84.88,80.00,20.00
