"Date","Time","Open","High","Low","Close","Vol","OI"
04/20/2010,23:00,143.83,144.64,142.10,144.20,4314512,0
04/21/2010,23:00,145.17,149.00,143.52,146.43,7374343,0
04/22/2010,23:00,147.01,151.09,145.88,150.09,15165734,0
04/23/2010,23:00,145.38,149.09,142.42,143.63,18981078,0
04/26/2010,23:00,143.20,147.73,142.90,147.11,9319997,0
04/27/2010,23:00,145.55,146.44,141.11,142.02,8641245,0
04/28/2010,23:00,142.59,142.75,138.69,139.35,9236364,0
04/29/2010,23:00,140.09,142.45,139.79,141.73,6314873,0
04/30/2010,23:00,141.40,141.40,136.91,137.10,6113453,0
05/03/2010,23:00,137.20,139.44,136.11,137.49,5662833,0
05/04/2010,23:00,135.62,135.81,128.38,129.83,12670239,0
05/05/2010,23:00,128.00,131.61,127.55,130.93,9462155,0
05/06/2010,23:00,130.00,132.33,120.60,128.71,10195596,0
05/07/2010,23:00,127.97,131.18,123.76,124.98,11936041,0
05/10/2010,23:00,129.73,132.21,129.26,131.29,6806846,0
05/11/2010,23:00,129.95,133.08,128.47,130.46,6047677,0
05/12/2010,23:00,131.41,134.13,129.68,133.87,5905373,0
05/13/2010,23:00,133.93,136.99,131.00,131.47,5940987,0
05/14/2010,23:00,130.36,131.00,126.76,128.53,5277824,0
05/17/2010,23:00,128.24,129.95,125.80,128.91,5642751,0
05/18/2010,23:00,130.14,131.25,125.51,126.28,5258767,0
05/19/2010,23:00,125.51,127.93,123.80,124.59,6464521,0
05/20/2010,23:00,122.64,125.00,118.78,119.71,8594302,0
05/21/2010,23:00,117.90,124.97,117.52,122.72,7968396,0
05/24/2010,23:00,122.57,124.50,120.65,122.12,4544265,0
05/25/2010,23:00,118.54,125.19,118.50,124.86,7121633,0
05/26/2010,23:00,125.05,125.79,122.30,123.21,6968764,0
05/27/2010,23:00,124.98,126.85,120.60,126.70,4748544,0
05/28/2010,23:00,126.07,127.60,124.01,125.46,3955852,0
06/01/2010,23:00,124.97,126.57,123.02,123.24,3659489,0
06/02/2010,23:00,124.02,126.43,121.65,126.31,4764623,0
06/03/2010,23:00,126.25,129.15,124.85,128.76,5277304,0
06/04/2010,23:00,126.33,128.20,122.18,122.77,5497625,0
06/07/2010,23:00,125.76,126.61,121.67,122.01,6574503,0
06/08/2010,23:00,122.00,122.00,115.80,118.84,11517726,0
06/09/2010,23:00,120.30,121.47,117.36,117.91,7371717,0
06/10/2010,23:00,120.00,123.50,119.20,123.21,6061755,0
06/11/2010,23:00,121.39,123.53,120.29,123.03,4205811,0
06/14/2010,23:00,124.24,125.70,123.50,123.83,3922912,0
06/15/2010,23:00,123.20,126.92,122.50,126.84,4541551,0
06/16/2010,23:00,125.39,127.98,125.37,126.90,3964437,0
06/17/2010,23:00,126.74,127.80,124.69,125.89,3480029,0
06/18/2010,23:00,126.48,127.48,125.07,125.83,3840699,0
06/21/2010,23:00,126.79,127.48,121.41,122.55,5327679,0
06/22/2010,23:00,122.65,125.23,121.55,122.31,6207395,0
06/23/2010,23:00,122.11,123.22,120.04,121.45,5455131,0
06/24/2010,23:00,120.61,120.85,116.80,118.33,7771960,0
06/25/2010,23:00,118.14,121.76,117.63,121.00,5770282,0
06/28/2010,23:00,118.85,120.04,117.10,117.80,5612525,0
06/29/2010,23:00,116.26,116.48,106.01,108.61,12866217,0
06/30/2010,23:00,108.58,112.68,108.11,109.26,9740934,0
07/01/2010,23:00,108.90,111.69,106.70,110.96,8530344,0
07/02/2010,23:00,110.92,111.29,108.56,109.14,4477303,0
07/06/2010,23:00,110.65,112.53,109.00,110.06,5219408,0
07/07/2010,23:00,109.84,113.63,109.81,113.43,4944961,0
07/08/2010,23:00,115.02,117.48,114.07,116.22,6776483,0
07/09/2010,23:00,116.55,117.40,114.65,117.26,4065036,0
07/12/2010,23:00,117.81,119.70,117.32,119.51,4783737,0
07/13/2010,23:00,120.69,124.88,120.30,123.65,7091088,0
07/14/2010,23:00,123.03,123.75,121.47,123.30,5257540,0
07/15/2010,23:00,120.13,122.48,119.26,122.06,6051125,0
07/16/2010,23:00,121.28,121.92,118.01,118.49,6227899,0
07/19/2010,23:00,118.38,120.74,117.00,119.94,5030817,0
07/20/2010,23:00,120.61,120.71,117.51,120.10,6785727,0
07/21/2010,23:00,120.62,121.25,117.26,117.43,5011618,0
07/22/2010,23:00,118.71,120.87,118.02,120.07,15003327,0
07/23/2010,23:00,105.93,119.28,105.80,118.87,42421074,0
07/26/2010,23:00,118.26,118.60,114.88,118.40,11137741,0
07/27/2010,23:00,118.43,118.50,115.07,117.13,7796020,0
07/28/2010,23:00,117.00,118.20,116.40,117.13,5472256,0
07/29/2010,23:00,117.99,118.87,115.52,116.86,6184850,0
07/30/2010,23:00,115.53,118.74,114.51,117.89,7083180,0
08/02/2010,23:00,119.15,120.38,117.57,120.07,5482619,0
08/03/2010,23:00,120.00,122.87,119.68,122.42,5962926,0
08/04/2010,23:00,123.06,128.47,123.00,127.58,9275063,0
08/05/2010,23:00,126.77,128.00,125.82,127.83,4282297,0
08/06/2010,23:00,126.72,128.40,125.90,128.32,5065977,0
08/09/2010,23:00,128.46,129.93,127.85,128.83,5087069,0
08/10/2010,23:00,127.95,130.00,127.38,130.00,5706813,0
08/11/2010,23:00,128.10,128.12,125.20,125.89,5542390,0
08/12/2010,23:00,123.76,127.00,123.55,126.56,4368459,0
08/13/2010,23:00,126.06,127.48,124.26,124.69,3983580,0
08/16/2010,23:00,123.61,127.37,123.04,126.07,4027614,0
08/17/2010,23:00,127.34,129.98,126.79,128.86,5045092,0
08/18/2010,23:00,129.25,130.81,128.26,129.65,7902371,0
08/19/2010,23:00,129.22,130.02,126.82,127.57,5582487,0
08/20/2010,23:00,127.20,128.04,126.02,127.76,4172548,0
08/23/2010,23:00,127.86,129.22,126.50,126.60,3867811,0
08/24/2010,23:00,125.41,125.44,123.18,124.53,5369619,0
