"Date","Time","Open","High","Low","Close","Vol","OI"
04/19/2010,23:00,12.18,12.37,11.82,12.11,13470401,0
04/20/2010,23:00,12.15,12.49,12.12,12.44,12434947,0
04/21/2010,23:00,12.64,12.71,12.20,12.43,24311203,0
04/22/2010,23:00,13.00,14.64,12.95,14.32,90485206,0
04/23/2010,23:00,14.29,14.37,13.77,14.25,29832628,0
04/26/2010,23:00,14.36,15.67,14.35,15.45,47215000,0
04/27/2010,23:00,15.01,15.15,14.52,14.58,34268535,0
04/28/2010,23:00,14.50,14.68,13.97,14.20,22774864,0
04/29/2010,23:00,14.40,14.85,14.19,14.74,18083450,0
04/30/2010,23:00,14.84,14.84,14.08,14.13,13062035,0
05/03/2010,23:00,14.28,14.83,14.14,14.57,13974177,0
05/04/2010,23:00,14.29,14.41,13.98,14.19,15383907,0
05/05/2010,23:00,13.93,14.53,13.74,14.03,14750701,0
05/06/2010,23:00,13.87,14.43,12.86,13.85,24458217,0
05/07/2010,23:00,13.86,14.29,12.92,13.01,25914336,0
05/10/2010,23:00,13.66,13.99,13.57,13.93,18570195,0
05/11/2010,23:00,13.66,14.59,13.65,14.26,23127202,0
05/12/2010,23:00,14.53,15.42,14.49,15.40,27250489,0
05/13/2010,23:00,15.49,17.07,15.32,15.72,71568483,0
05/14/2010,23:00,15.07,15.14,14.29,14.37,34972868,0
05/17/2010,23:00,14.50,15.29,14.47,15.19,31601528,0
05/18/2010,23:00,15.06,15.39,14.37,14.57,27513269,0
05/19/2010,23:00,14.43,14.93,13.91,14.37,22931671,0
05/20/2010,23:00,13.82,14.00,13.28,13.57,28937426,0
05/21/2010,23:00,13.06,14.28,12.97,14.21,30018338,0
05/24/2010,23:00,14.48,14.91,14.29,14.52,18448325,0
05/25/2010,23:00,13.93,15.00,13.86,15.00,23362311,0
05/26/2010,23:00,15.35,15.55,14.80,14.97,33469065,0
05/27/2010,23:00,15.43,15.57,15.07,15.55,19632235,0
05/28/2010,23:00,15.55,16.28,15.46,15.88,28297556,0
06/01/2010,23:00,15.61,15.88,15.30,15.33,15898288,0
06/02/2010,23:00,15.56,15.87,14.97,15.83,18493797,0
06/03/2010,23:00,15.99,16.38,15.70,15.98,18263910,0
06/04/2010,23:00,15.70,16.39,15.36,15.68,21745143,0
06/07/2010,23:00,15.69,16.18,15.32,15.59,26230715,0
06/08/2010,23:00,15.87,16.07,15.33,15.76,24122266,0
06/09/2010,23:00,16.14,16.84,16.03,16.49,39739875,0
06/10/2010,23:00,16.86,17.13,16.62,16.95,24771964,0
06/11/2010,23:00,16.78,17.36,16.66,17.24,28701015,0
06/14/2010,23:00,17.63,18.28,17.54,18.12,34783903,0
06/15/2010,23:00,17.86,17.88,17.46,17.64,31729145,0
06/16/2010,23:00,17.54,18.00,17.15,17.81,30644075,0
06/17/2010,23:00,17.94,18.26,17.77,17.98,18619104,0
06/18/2010,23:00,17.99,18.16,17.79,18.06,17450419,0
06/21/2010,23:00,18.01,18.10,16.77,17.00,26101558,0
06/22/2010,23:00,17.07,17.20,16.30,16.63,27766795,0
06/23/2010,23:00,16.82,17.00,16.29,16.82,14742567,0
06/24/2010,23:00,16.70,16.84,16.37,16.46,13642300,0
06/25/2010,23:00,16.49,16.95,16.07,16.85,18132086,0
